Physical export of Switzerland of electricity by country,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Export,,,,,,,,,,,,,,,,,,,,,,
,Germany,France,Italy,Austria,Lichtenstein,TOTAL,,,,,,,,,,,,,,,,
,GWh,GWh,GWh,GWh,GWh,GWh,,,,,,,,,,,,,,,,
January 2000,421,313,1760,3,24,2521,,,,,,,,,,,,,,,,
February 2000,412,141,1757,4,23,2337,,,,,,,,,,,,,,,,
March 2000,459,148,1962,4,23,2596,,,,,,,,,,,,,,,,
April 2000,474,114,1767,3,17,2375,,,,,,,,,,,,,,,,
May 2000,935,116,1927,42,14,3034,,,,,,,,,,,,,,,,
June 2000,910,101,1895,31,13,2950,,,,,,,,,,,,,,,,
July 2000,510,105,1950,16,14,2595,,,,,,,,,,,,,,,,
August 2000,612,152,1275,39,14,2092,,,,,,,,,,,,,,,,
September 2000,354,320,1849,18,17,2558,,,,,,,,,,,,,,,,
Oktober 2000,439,291,2295,28,20,3073,,,,,,,,,,,,,,,,
November 2000,490,161,1924,17,22,2614,,,,,,,,,,,,,,,,
December 2000,544,106,1976,8,21,2655,,,,,,,,,,,,,,,,
January 2001,546,125,2033,9,25,2738,,,,,,,,,,,,,,,,
February 2001,492,164,1801,3,23,2483,,,,,,,,,,,,,,,,
March 2001,736,85,1872,14,22,2729,,,,,,,,,,,,,,,,
April 2001,483,73,1841,9,19,2425,,,,,,,,,,,,,,,,
May 2001,908,159,1933,34,13,3047,,,,,,,,,,,,,,,,
June 2001,978,139,1920,70,13,3120,,,,,,,,,,,,,,,,
July 2001,1049,129,1869,256,14,3317,,,,,,,,,,,,,,,,
August 2001,1001,344,1124,281,16,2766,,,,,,,,,,,,,,,,
September 2001,486,211,2160,18,17,2892,,,,,,,,,,,,,,,,
Oktober 2001,511,78,2464,26,21,3100,,,,,,,,,,,,,,,,
November 2001,356,140,2324,5,24,2849,,,,,,,,,,,,,,,,
December 2001,241,351,2458,1,23,3074,,,,,,,,,,,,,,,,
January 2002,225,261,2338,0,26,2850,,,,,,,,,,,,,,,,
February 2002,193,132,2138,0,23,2486,,,,,,,,,,,,,,,,
March 2002,285,54,2168,1,22,2530,,,,,,,,,,,,,,,,
April 2002,362,51,2131,4,20,2568,,,,,,,,,,,,,,,,
May 2002,597,80,2234,16,16,2943,,,,,,,,,,,,,,,,
June 2002,527,88,2191,15,16,2837,,,,,,,,,,,,,,,,
July 2002,486,275,2421,82,18,3282,,,,,,,,,,,,,,,,
August 2002,522,151,1647,52,17,2389,,,,,,,,,,,,,,,,
September 2002,548,140,1986,17,20,2711,,,,,,,,,,,,,,,,
Oktober 2002,363,78,2090,22,20,2573,,,,,,,,,,,,,,,,
November 2002,464,65,1828,24,19,2400,,,,,,,,,,,,,,,,
December 2002,463,125,2112,18,21,2739,,,,,,,,,,,,,,,,
January 2003,381,148,2298,8,25,2860,,,,,,,,,,,,,,,,
February 2003,338,147,2130,11,26,2652,,,,,,,,,,,,,,,,
March 2003,373,77,2382,27,25,2884,,,,,,,,,,,,,,,,
April 2003,404,103,2349,6,20,2882,,,,,,,,,,,,,,,,
May 2003,684,88,2124,46,16,2958,,,,,,,,,,,,,,,,
June 2003,352,277,2280,78,18,3005,,,,,,,,,,,,,,,,
July 2003,558,230,2504,90,22,3404,,,,,,,,,,,,,,,,
August 2003,275,291,1985,37,21,2609,,,,,,,,,,,,,,,,
September 2003,244,123,2246,23,23,2659,,,,,,,,,,,,,,,,
Oktober 2003,193,186,2245,10,24,2658,,,,,,,,,,,,,,,,
November 2003,188,83,1964,21,25,2281,,,,,,,,,,,,,,,,
December 2003,218,120,1966,15,25,2344,,,,,,,,,,,,,,,,
January 2004,187,154,2092,2,27,2462,,,,,,,,,,,,,,,,
February 2004,165,148,1836,0,26,2175,,,,,,,,,,,,,,,,
March 2004,274,124,1881,1,27,2307,,,,,,,,,,,,,,,,
April 2004,248,107,1653,3,21,2032,,,,,,,,,,,,,,,,
May 2004,597,76,1533,37,18,2261,,,,,,,,,,,,,,,,
June 2004,449,322,1506,23,18,2318,,,,,,,,,,,,,,,,
July 2004,523,461,1723,101,17,2825,,,,,,,,,,,,,,,,
August 2004,487,277,1195,58,21,2038,,,,,,,,,,,,,,,,
September 2004,359,263,1681,12,23,2338,,,,,,,,,,,,,,,,
Oktober 2004,320,260,1591,38,23,2232,,,,,,,,,,,,,,,,
November 2004,254,248,1910,31,27,2470,,,,,,,,,,,,,,,,
December 2004,179,244,1849,1,28,2301,,,,,,,,,,,,,,,,
January 2005,121,288,2281,12,28,2730,,,,,,,,,,,,,,,,
February 2005,120,356,2484,0,27,2987,,,,,,,,,,,,,,,,
March 2005,159,302,2467,0,26,2954,,,,,,,,,,,,,,,,
April 2005,176,160,2398,0,22,2756,,,,,,,,,,,,,,,,
May 2005,256,116,2334,0,18,2724,,,,,,,,,,,,,,,,
June 2005,208,275,2069,0,20,2572,,,,,,,,,,,,,,,,
July 2005,293,367,2174,0,20,2854,,,,,,,,,,,,,,,,
August 2005,381,130,1792,34,19,2356,,,,,,,,,,,,,,,,
September 2005,322,213,1986,4,23,2548,,,,,,,,,,,,,,,,
Oktober 2005,251,112,2419,0,25,2807,,,,,,,,,,,,,,,,
November 2005,223,214,1990,14,29,2470,,,,,,,,,,,,,,,,
December 2005,210,511,1488,0,29,2238,,,,,,,,,,,,,,,,
January 2006,197,475,1071,0,31,1774,,,,,,,,,,,,,,,,
February 2006,179,540,1105,0,28,1852,,,,,,,,,,,,,,,,
March 2006,186,394,1433,1,31,2045,,,,,,,,,,,,,,,,
April 2006,296,30,2179,1,22,2528,,,,,,,,,,,,,,,,
May 2006,551,70,2092,11,20,2744,,,,,,,,,,,,,,,,
June 2006,353,100,2205,1,19,2678,,,,,,,,,,,,,,,,
July 2006,619,315,2134,28,25,3121,,,,,,,,,,,,,,,,
August 2006,392,61,1768,20,22,2263,,,,,,,,,,,,,,,,
September 2006,528,134,2239,12,23,2936,,,,,,,,,,,,,,,,
Oktober 2006,313,105,2748,0,27,3193,,,,,,,,,,,,,,,,
November 2006,285,87,2477,5,28,2882,,,,,,,,,,,,,,,,
December 2006,193,247,2613,3,28,3084,,,,,,,,,,,,,,,,
January 2007,163,173,2822,0,29,3187,,,,,,,,,,,,,,,,
February 2007,181,83,2551,0,28,2843,,,,,,,,,,,,,,,,
March 2007,241,123,2853,0,29,3246,,,,,,,,,,,,,,,,
April 2007,237,151,2788,0,23,3199,,,,,,,,,,,,,,,,
May 2007,404,94,2526,2,22,3048,,,,,,,,,,,,,,,,
June 2007,521,134,2500,10,21,3186,,,,,,,,,,,,,,,,
July 2007,661,428,2618,5,21,3733,,,,,,,,,,,,,,,,
August 2007,592,318,1947,13,22,2892,,,,,,,,,,,,,,,,
September 2007,349,387,2272,0,23,3031,,,,,,,,,,,,,,,,
Oktober 2007,481,247,2368,5,29,3130,,,,,,,,,,,,,,,,
November 2007,344,415,1747,0,30,2536,,,,,,,,,,,,,,,,
December 2007,187,473,2158,2,29,2849,,,,,,,,,,,,,,,,
January 2008,151,332,2211,0,32,2726,,,,,,,,,,,,,,,,
February 2008,140,210,2206,0,30,2586,,,,,,,,,,,,,,,,
